Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Asbestos Ore
appliedenergistics2:facade:0, Cable Facade - Rare Earth Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore Cluster
appliedenergistics2:facade:0, Cable Facade - Titanium Ore Cluster
appliedenergistics2:facade:0, Cable Facade - Aluminium Ore Cluster
appliedenergistics2:facade:0, Cable Facade - Copper Ore Cluster
appliedenergistics2:facade:0, Cable Facade - Cobalt Ore
appliedenergistics2:facade:0, Cable Facade - Cinnabar Ore
appliedenergistics2:facade:0, Cable Facade - Coltan Ore
appliedenergistics2:facade:0, Cable Facade - Australian Ore
appliedenergistics2:facade:0, Cable Facade - Depth Rock
appliedenergistics2:facade:0, Cable Facade - Depth Cinnabar Ore
appliedenergistics2:facade:0, Cable Facade - Depth Zirconium Ore
appliedenergistics2:facade:0, Cable Facade - Depth Borax Ore
appliedenergistics2:facade:0, Cable Facade - Alexandrite Ore
appliedenergistics2:facade:0, Cable Facade - Depth Iron Ore Cluster
appliedenergistics2:facade:0, Cable Facade - Depth Titanium Ore Cluster
appliedenergistics2:facade:0, Cable Facade - Depth Tungsten Ore Cluster
appliedenergistics2:facade:0, Cable Facade - Bedrock Coltan Ore
appliedenergistics2:facade:0, Cable Facade - Bedrock Oil Deposit
appliedenergistics2:facade:0, Cable Facade - Oil Deposit
appliedenergistics2:facade:0, Cable Facade - Empty Oil Deposit
appliedenergistics2:facade:0, Cable Facade - Tar Sand
appliedenergistics2:facade:0, Cable Facade - Graphitic Schist
appliedenergistics2:facade:0, Cable Facade - Schist Brick
appliedenergistics2:facade:0, Cable Facade - Schist Tile
appliedenergistics2:facade:0, Cable Facade - Chiseled Schist
appliedenergistics2:facade:0, Cable Facade - Schist Iron Ore
appliedenergistics2:facade:0, Cable Facade - Schist Gold Ore
appliedenergistics2:facade:0, Cable Facade - Schist Uranium Ore
appliedenergistics2:facade:0, Cable Facade - Scorched Schist Uranium Ore
appliedenergistics2:facade:0, Cable Facade - Schist Copper Ore
appliedenergistics2:facade:0, Cable Facade - Schist Asbestos Ore
appliedenergistics2:facade:0, Cable Facade - Schist Lithium Ore
appliedenergistics2:facade:0, Cable Facade - Schist Schrabidium Ore
appliedenergistics2:facade:0, Cable Facade - Schist Rare Earth Ore
appliedenergistics2:facade:0, Cable Facade - Gas Shale
appliedenergistics2:facade:0, Cable Facade - Trixite
appliedenergistics2:facade:0, Cable Facade - Burning Nether Coal Ore
appliedenergistics2:facade:0, Cable Facade - Smoldering Netherrack
appliedenergistics2:facade:0, Cable Facade - Nether Cobalt Ore
appliedenergistics2:facade:0, Cable Facade - Nether Tungsten Ore
appliedenergistics2:facade:0, Cable Facade - Nether Sulfur Ore
appliedenergistics2:facade:0, Cable Facade - Nether Phosphorus Ore
appliedenergistics2:facade:0, Cable Facade - Nether Uranium Ore
appliedenergistics2:facade:0, Cable Facade - Scorched Nether Uranium Ore
appliedenergistics2:facade:0, Cable Facade - Nether Plutonium Ore
appliedenergistics2:facade:0, Cable Facade - Nether Schrabidium Ore
appliedenergistics2:facade:0, Cable Facade - Nether Depth Rock
appliedenergistics2:facade:0, Cable Facade - Nether Depth Neodymium Ore
appliedenergistics2:facade:0, Cable Facade - Nether Depth Nitanium Ore
appliedenergistics2:facade:0, Cable Facade - Meteorite Block
appliedenergistics2:facade:0, Cable Facade - Meteorite Cobblestone
appliedenergistics2:facade:0, Cable Facade - Broken Meteorite Block
appliedenergistics2:facade:0, Cable Facade - Hot Meteorite Cobblestone
appliedenergistics2:facade:0, Cable Facade - Meteorite Treasure Block
appliedenergistics2:facade:0, Cable Facade - Meteor Iron Ore
appliedenergistics2:facade:0, Cable Facade - Polished Meteor Block
appliedenergistics2:facade:0, Cable Facade - Meteor Bricks
appliedenergistics2:facade:0, Cable Facade - Mossy Meteor Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Meteor Bricks
appliedenergistics2:facade:0, Cable Facade - Chiseled Meteor Bricks
appliedenergistics2:facade:0, Cable Facade - Meteor Pillar
appliedenergistics2:facade:0, Cable Facade - Starmetal Static Electricity Generator
appliedenergistics2:facade:0, Cable Facade - Enargite Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Enargite Bricks
appliedenergistics2:facade:0, Cable Facade - Magmatic Enargite Bricks
appliedenergistics2:facade:0, Cable Facade - Radioactive Enargite Bricks
appliedenergistics2:facade:0, Cable Facade - Arcane Enargite Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Enargite Glyph Bricks
appliedenergistics2:facade:0, Cable Facade - Mechanist's Circle
appliedenergistics2:facade:0, Cable Facade - Strange Stone
appliedenergistics2:facade:0, Cable Facade - Strange Red Room Brick
appliedenergistics2:facade:0, Cable Facade - Red Room Brick
appliedenergistics2:facade:0, Cable Facade - Berzelianite Bricks
appliedenergistics2:facade:0, Cable Facade - Berzelianite Block
appliedenergistics2:facade:0, Cable Facade - Berzelianite Tile
appliedenergistics2:facade:0, Cable Facade - Berzelianite Cirlce
appliedenergistics2:facade:0, Cable Facade - Block of Niter
appliedenergistics2:facade:0, Cable Facade - Reinforced Block of Niter
appliedenergistics2:facade:0, Cable Facade - Block of Sulfur
appliedenergistics2:facade:0, Cable Facade - Block of Thorium-232
appliedenergistics2:facade:0, Cable Facade - Block of Thorium Fuel
appliedenergistics2:facade:0, Cable Facade - Block of Neptunium
appliedenergistics2:facade:0, Cable Facade - Block of Polonium-210
appliedenergistics2:facade:0, Cable Facade - Block of MOX Fuel
appliedenergistics2:facade:0, Cable Facade - Block of Plutonium
appliedenergistics2:facade:0, Cable Facade - Block of Plutonium-238
appliedenergistics2:facade:0, Cable Facade - Block of Plutonium-239
appliedenergistics2:facade:0, Cable Facade - Block of Plutonium-240
appliedenergistics2:facade:0, Cable Facade - Block of Reactor Grade Plutonium
appliedenergistics2:facade:0, Cable Facade - Block of Plutonium Fuel
appliedenergistics2:facade:0, Cable Facade - Block of Uranium
appliedenergistics2:facade:0, Cable Facade - Block of Uranium-233
appliedenergistics2:facade:0, Cable Facade - Block of Uranium-235
appliedenergistics2:facade:0, Cable Facade - Block of Uranium-238
appliedenergistics2:facade:0, Cable Facade - Block of Uranium Fuel
appliedenergistics2:facade:0, Cable Facade - Block of Titanium
appliedenergistics2:facade:0, Cable Facade - Block of Copper
appliedenergistics2:facade:0, Cable Facade - Block of Red Copper
appliedenergistics2:facade:0, Cable Facade - Block of Advanced Alloy
appliedenergistics2:facade:0, Cable Facade - Block of Tungsten
appliedenergistics2:facade:0, Cable Facade - Block of Aluminium
appliedenergistics2:facade:0, Cable Facade - Block of Fluorite
appliedenergistics2:facade:0, Cable Facade - Block of Steel
appliedenergistics2:facade:0, Cable Facade - Block of Lead
appliedenergistics2:facade:0, Cable Facade - Block of Technetium Steel
appliedenergistics2:facade:0, Cable Facade - Block of Cadmium Steel
appliedenergistics2:facade:0, Cable Facade - Block of Cadmium
appliedenergistics2:facade:0, Cable Facade - Block of Bismuth
appliedenergistics2:facade:0, Cable Facade - Block of Coltan
appliedenergistics2:facade:0, Cable Facade - Block of Tantalium
appliedenergistics2:facade:0, Cable Facade - Block of Niobium
appliedenergistics2:facade:0, Cable Facade - Block of Trinitite
appliedenergistics2:facade:0, Cable Facade - Block of Beryllium
appliedenergistics2:facade:0, Cable Facade - Block of Schraranium
appliedenergistics2:facade:0, Cable Facade - Block of Schrabidium
appliedenergistics2:facade:0, Cable Facade - Block of Ferric Schrabidate
appliedenergistics2:facade:0, Cable Facade - Block of Solinium
appliedenergistics2:facade:0, Cable Facade - Block of Schrabidium Fuel
appliedenergistics2:facade:0, Cable Facade - Block of Gold-198
appliedenergistics2:facade:0, Cable Facade - Block of Euphemium
appliedenergistics2:facade:0, Cable Facade - Block of Dineutronium
appliedenergistics2:facade:0, Cable Facade - Schrabidium Cluster
appliedenergistics2:facade:0, Cable Facade - Euphemium-Etched Schrabidium Cluster
appliedenergistics2:facade:0, Cable Facade - Block of CMB Steel
appliedenergistics2:facade:0, Cable Facade - Block of Magnetized Tungsten
appliedenergistics2:facade:0, Cable Facade - Reinforced Block of Desh
appliedenergistics2:facade:0, Cable Facade - Reinforced Block of High-Speed Steel
appliedenergistics2:facade:0, Cable Facade - Block of Saturnite
appliedenergistics2:facade:0, Cable Facade - Tektite
appliedenergistics2:facade:0, Cable Facade - Osmiridium-Infused Tektite
appliedenergistics2:facade:0, Cable Facade - Scorched Dirt
appliedenergistics2:facade:0, Cable Facade - Crushed Obsidian
appliedenergistics2:facade:0, Cable Facade - Diamond Gravel
appliedenergistics2:facade:0, Cable Facade - Moon Turf
appliedenergistics2:facade:0, Cable Facade - Titanium Deco Block
appliedenergistics2:facade:0, Cable Facade - Red Copper Deco Block
appliedenergistics2:facade:0, Cable Facade - Tungsten Deco Block
appliedenergistics2:facade:0, Cable Facade - Aluminium Deco Block
appliedenergistics2:facade:0, Cable Facade - Steel Deco Block
appliedenergistics2:facade:0, Cable Facade - Rusty Steel Deco Block
appliedenergistics2:facade:0, Cable Facade - Lead Deco Block
appliedenergistics2:facade:0, Cable Facade - Beryllium Deco Block
appliedenergistics2:facade:0, Cable Facade - Asbestos Roof
appliedenergistics2:facade:0, Cable Facade - 2x2 RBMK Deco Block
appliedenergistics2:facade:0, Cable Facade - 1x1 RBMK Deco Block
appliedenergistics2:facade:0, Cable Facade - 2x2 RBMK Panel Deco Block
appliedenergistics2:facade:0, Cable Facade - 1x1 RBMK Panel Deco Block
appliedenergistics2:facade:0, Cable Facade - Hazmat Cloth Block
appliedenergistics2:facade:0, Cable Facade - Glyphid Hive Block
appliedenergistics2:facade:0, Cable Facade - Grown Glowing Shroom
appliedenergistics2:facade:0, Cable Facade - Grown Glowing Shroom Stem
appliedenergistics2:facade:0, Cable Facade - Block of Nuclear Waste
appliedenergistics2:facade:0, Cable Facade - Painted Block of Nuclear Waste
appliedenergistics2:facade:0, Cable Facade - Vitrified Block of Nuclear Waste
appliedenergistics2:facade:0, Cable Facade - Glowing Mycelium
appliedenergistics2:facade:0, Cable Facade - Dead Grass
appliedenergistics2:facade:0, Cable Facade - Trinitite Ore
appliedenergistics2:facade:0, Cable Facade - Red Trinitite Ore
appliedenergistics2:facade:0, Cable Facade - Charred Log
appliedenergistics2:facade:0, Cable Facade - Charred Wooden Planks
appliedenergistics2:facade:0, Cable Facade - Burning Grass
appliedenergistics2:facade:0, Cable Facade - Dead Dirt
appliedenergistics2:facade:0, Cable Facade - Oily Dirt
appliedenergistics2:facade:0, Cable Facade - Oily Sand
appliedenergistics2:facade:0, Cable Facade - Red Oily Sand
appliedenergistics2:facade:0, Cable Facade - Cracked Stone
appliedenergistics2:facade:0, Cable Facade - Frozen Grass
appliedenergistics2:facade:0, Cable Facade - Frozen Log
appliedenergistics2:facade:0, Cable Facade - Frozen Planks
appliedenergistics2:facade:0, Cable Facade - Frozen Dirt
appliedenergistics2:facade:0, Cable Facade - Block of Fallout
appliedenergistics2:facade:0, Cable Facade - Block of Boron
appliedenergistics2:facade:0, Cable Facade - Block of Lanthanium
appliedenergistics2:facade:0, Cable Facade - Block of Radium-226
appliedenergistics2:facade:0, Cable Facade - Block of Actinium
appliedenergistics2:facade:0, Cable Facade - Block of Tritium Cells
appliedenergistics2:facade:0, Cable Facade - Block of Semtex
appliedenergistics2:facade:0, Cable Facade - Block of C-4
appliedenergistics2:facade:0, Cable Facade - Block of S'more
appliedenergistics2:facade:0, Cable Facade - Block of Slag
appliedenergistics2:facade:0, Cable Facade - Slaked Sellafite
appliedenergistics2:facade:0, Cable Facade - Bedrock Sellafite
appliedenergistics2:facade:0, Cable Facade - Sellafite
appliedenergistics2:facade:0, Cable Facade - Block of Yellowcake
appliedenergistics2:facade:0, Cable Facade - §9Block of Starmetal§r
appliedenergistics2:facade:0, Cable Facade - Block of Polymer
appliedenergistics2:facade:0, Cable Facade - Block of Bakelite
appliedenergistics2:facade:0, Cable Facade - Block of Rubber
appliedenergistics2:facade:0, Cable Facade - Block of Asbestos
appliedenergistics2:facade:0, Cable Facade - Firebricks
appliedenergistics2:facade:0, Cable Facade - Block of Cobalt
appliedenergistics2:facade:0, Cable Facade - Block of Lithium
appliedenergistics2:facade:0, Cable Facade - Block of Zirconium
appliedenergistics2:facade:0, Cable Facade - Roll of Insulation
appliedenergistics2:facade:0, Cable Facade - Roll of Fiberglass
appliedenergistics2:facade:0, Cable Facade - Block of White Phosphorus
appliedenergistics2:facade:0, Cable Facade - Block of Red Phosphorus
appliedenergistics2:facade:0, Cable Facade - Foam
appliedenergistics2:facade:0, Cable Facade - Block of Coal Coke
appliedenergistics2:facade:0, Cable Facade - Block of Graphite
appliedenergistics2:facade:0, Cable Facade - Drilled Graphite
appliedenergistics2:facade:0, Cable Facade - Pile Control Rod
appliedenergistics2:facade:0, Cable Facade - Pile Lithium Fuel (Bred)
appliedenergistics2:facade:0, Cable Facade - Block of Australium
appliedenergistics2:facade:0, Cable Facade - Depth Bricks
appliedenergistics2:facade:0, Cable Facade - Depth Tiles
appliedenergistics2:facade:0, Cable Facade - Nether Depth Bricks
appliedenergistics2:facade:0, Cable Facade - Nether Depth Tiles
appliedenergistics2:facade:0, Cable Facade - DNT-Reinforced Depth Bricks
appliedenergistics2:facade:0, Cable Facade - Porous Stone
appliedenergistics2:facade:0, Cable Facade - Basalt
appliedenergistics2:facade:0, Cable Facade - Sulfur-Rich Basalt
appliedenergistics2:facade:0, Cable Facade - Smooth Basalt
appliedenergistics2:facade:0, Cable Facade - Basalt Bricks
appliedenergistics2:facade:0, Cable Facade - Polished Basalt
appliedenergistics2:facade:0, Cable Facade - Basalt Tiles
appliedenergistics2:facade:0, Cable Facade - Block of Nuka Cola Bottle Caps
appliedenergistics2:facade:0, Cable Facade - Dynamite
appliedenergistics2:facade:0, Cable Facade - Actual TNT
appliedenergistics2:facade:0, Cable Facade - Semtex
appliedenergistics2:facade:0, Cable Facade - C-4
appliedenergistics2:facade:0, Cable Facade - Fissure Bomb
appliedenergistics2:facade:0, Cable Facade - Flame War in a Box
appliedenergistics2:facade:0, Cable Facade - Levitation Bomb
appliedenergistics2:facade:0, Cable Facade - EMP Device
appliedenergistics2:facade:0, Cable Facade - Endothermic Bomb
appliedenergistics2:facade:0, Cable Facade - Exothermic Bomb
appliedenergistics2:facade:0, Cable Facade - Det Cord
appliedenergistics2:facade:0, Cable Facade - Mining Charge
appliedenergistics2:facade:0, Cable Facade - Explosive Charge
appliedenergistics2:facade:0, Cable Facade - N² Charge
appliedenergistics2:facade:0, Cable Facade - Nuclear Charge
appliedenergistics2:facade:0, Cable Facade - Balefire Charge
appliedenergistics2:facade:0, Cable Facade - Armor Modification Table
appliedenergistics2:facade:0, Cable Facade - Weapon Modification Table
appliedenergistics2:facade:0, Cable Facade - Ash
appliedenergistics2:facade:0, Cable Facade - Boron Sand
appliedenergistics2:facade:0, Cable Facade - Lead Sand
appliedenergistics2:facade:0, Cable Facade - Uranium Sand
appliedenergistics2:facade:0, Cable Facade - Polonium Sand
appliedenergistics2:facade:0, Cable Facade - Quartz Sand
appliedenergistics2:facade:0, Cable Facade - Gold Sand
appliedenergistics2:facade:0, Cable Facade - Gold-198 Sand
appliedenergistics2:facade:0, Cable Facade - Uranium Glass
appliedenergistics2:facade:0, Cable Facade - Trinity Glass
appliedenergistics2:facade:0, Cable Facade - Polonium Glass
appliedenergistics2:facade:0, Cable Facade - Boron Glass
appliedenergistics2:facade:0, Cable Facade - Lead Glass
appliedenergistics2:facade:0, Cable Facade - Ash Glass
appliedenergistics2:facade:0, Cable Facade - Quartz Glass
appliedenergistics2:facade:0, Cable Facade - Polarized Glass
appliedenergistics2:facade:0, Cable Facade - Silo Hatch Frame
appliedenergistics2:facade:0, Cable Facade - Silo Hatch Opener
appliedenergistics2:facade:0, Cable Facade - Supply Crate
appliedenergistics2:facade:0, Cable Facade - Weapon Crate
appliedenergistics2:facade:0, Cable Facade - Hazmat Crate
appliedenergistics2:facade:0, Cable Facade - Machine Crate
appliedenergistics2:facade:0, Cable Facade - Red Crate
appliedenergistics2:facade:0, Cable Facade - Enargite Crate
appliedenergistics2:facade:0, Cable Facade - Starmetal Crate
appliedenergistics2:facade:0, Cable Facade - Hbm's Nuclear Tech Mod Manual [LEGACY]
appliedenergistics2:facade:0, Cable Facade - 10k-20Hz Transformer
appliedenergistics2:facade:0, Cable Facade - 10k-1Hz Transformer
appliedenergistics2:facade:0, Cable Facade - DNT-20Hz Transformer
appliedenergistics2:facade:0, Cable Facade - DNT-1Hz Transformer
appliedenergistics2:facade:0, Cable Facade - Burner Press Preheater
appliedenergistics2:facade:0, Cable Facade - Nuclear Reactor (Old)
appliedenergistics2:facade:0, Cable Facade - RBMK Steam Connector
appliedenergistics2:facade:0, Cable Facade - RBMK Debris
appliedenergistics2:facade:0, Cable Facade - Flaming RBMK Debris
appliedenergistics2:facade:0, Cable Facade - Smoldering RBMK Debris
appliedenergistics2:facade:0, Cable Facade - Blackened RBMK Debris
appliedenergistics2:facade:0, Cable Facade - Corium
appliedenergistics2:facade:0, Cable Facade - Corebblestone
appliedenergistics2:facade:0, Cable Facade - Crude Oil Extraction Pipe
appliedenergistics2:facade:0, Cable Facade - Drill Pipe
appliedenergistics2:facade:0, Cable Facade - Teleportation Anchor
appliedenergistics2:facade:0, Cable Facade - High Energy Field Jammer
appliedenergistics2:facade:0, Cable Facade - Capacitor Bus
appliedenergistics2:facade:0, Cable Facade - Muffler
appliedenergistics2:facade:0, Cable Facade - Launch Pad Component Block
appliedenergistics2:facade:0, Cable Facade - Launch Pad Scaffold Block
appliedenergistics2:facade:0, Cable Facade - PWR Fuel Rod
appliedenergistics2:facade:0, Cable Facade - PWR Control Rod
appliedenergistics2:facade:0, Cable Facade - PWR Coolant Channel
appliedenergistics2:facade:0, Cable Facade - PWR Heat Exchanger
appliedenergistics2:facade:0, Cable Facade - PWR Heatsink
appliedenergistics2:facade:0, Cable Facade - PWR Neutron Source
appliedenergistics2:facade:0, Cable Facade - PWR Neutron Reflector
appliedenergistics2:facade:0, Cable Facade - PWR Pressure Vessel
appliedenergistics2:facade:0, Cable Facade - PWR Access Port
appliedenergistics2:facade:0, Cable Facade - Plasma Heater Component
appliedenergistics2:facade:0, Cable Facade - Duct Deco Block
appliedenergistics2:facade:0, Cable Facade - Fusion Reactor Control
appliedenergistics2:facade:0, Cable Facade - Superconducting BSCCO Coils
appliedenergistics2:facade:0, Cable Facade - ICF Stability Element
appliedenergistics2:facade:0, Cable Facade - ICF Laser Casing
appliedenergistics2:facade:0, Cable Facade - Watz Reaction Chamber
appliedenergistics2:facade:0, Cable Facade - Watz Reactor Supercooler
appliedenergistics2:facade:0, Cable Facade - Watz Stability Element
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Plating
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Plating (Blue)
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Plating (Black)
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Plating (YelloDye)
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Plating (Cool Hazard Stripes)
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Plating (VOLTZ)
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Plating (Window)
appliedenergistics2:facade:0, Cable Facade - Dense Superconducting Coil
appliedenergistics2:facade:0, Cable Facade - Dense Gold Coil
appliedenergistics2:facade:0, Cable Facade - Dense Neodymium Coil
appliedenergistics2:facade:0, Cable Facade - Dense 4000K Superconductor Coil
appliedenergistics2:facade:0, Cable Facade - Dense Schrabidic Coil
appliedenergistics2:facade:0, Cable Facade - Dense Schrabidate Coil
appliedenergistics2:facade:0, Cable Facade - Dense Starmetal Coil
appliedenergistics2:facade:0, Cable Facade - Dense Chlorophyte Coil
appliedenergistics2:facade:0, Cable Facade - Dense Mese Coil
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Analysis Chamber Wall
appliedenergistics2:facade:0, Cable Facade - Particle Accelerator Analysis Chamber Window
appliedenergistics2:facade:0, Cable Facade - Radiation Absorber
appliedenergistics2:facade:0, Cable Facade - Radiation Absorber (LEGACY)
appliedenergistics2:facade:0, Cable Facade - Enhanced Radiation Absorber (LEGACY)
appliedenergistics2:facade:0, Cable Facade - Advanced Radiation Absorber (LEGACY)
appliedenergistics2:facade:0, Cable Facade - Elite Radiation Absorber (LEGACY)
appliedenergistics2:facade:0, Cable Facade - Taint
appliedenergistics2:facade:0, Cable Facade - Cloud Residue
appliedenergistics2:facade:0, Cable Facade - Sulfurous Stone
appliedenergistics2:facade:0, Cable Facade - Ancient Scrap Metal
appliedenergistics2:facade:0, Cable Facade - Dirt
appliedenergistics2:facade:0, Cable Facade - Pink Log
appliedenergistics2:facade:0, Cable Facade - Pink Wood Planks
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:encoded_pattern, Encoded Pattern
appliedenergistics2:paint_ball:0, Paint Ball - White
appliedenergistics2:paint_ball:1, Paint Ball - Orange
appliedenergistics2:paint_ball:2, Paint Ball - Magenta
appliedenergistics2:paint_ball:3, Paint Ball - Light Blue
appliedenergistics2:paint_ball:4, Paint Ball - Yellow
appliedenergistics2:paint_ball:5, Paint Ball - Lime
appliedenergistics2:paint_ball:6, Paint Ball - Pink
appliedenergistics2:paint_ball:7, Paint Ball - Gray
appliedenergistics2:paint_ball:8, Paint Ball - Light Gray
appliedenergistics2:paint_ball:9, Paint Ball - Cyan
appliedenergistics2:paint_ball:10, Paint Ball - Purple
appliedenergistics2:paint_ball:11, Paint Ball - Blue
appliedenergistics2:paint_ball:12, Paint Ball - Brown
appliedenergistics2:paint_ball:13, Paint Ball - Green
appliedenergistics2:paint_ball:14, Paint Ball - Red
appliedenergistics2:paint_ball:15, Paint Ball - Black
appliedenergistics2:paint_ball:20, Paint Ball - Lumen White
appliedenergistics2:paint_ball:21, Paint Ball - Lumen Orange
appliedenergistics2:paint_ball:22, Paint Ball - Lumen Magenta
appliedenergistics2:paint_ball:23, Paint Ball - Lumen Light Blue
appliedenergistics2:paint_ball:24, Paint Ball - Lumen Yellow
appliedenergistics2:paint_ball:25, Paint Ball - Lumen Lime
appliedenergistics2:paint_ball:26, Paint Ball - Lumen Pink
appliedenergistics2:paint_ball:27, Paint Ball - Lumen Gray
appliedenergistics2:paint_ball:28, Paint Ball - Lumen Light Gray
appliedenergistics2:paint_ball:29, Paint Ball - Lumen Cyan
appliedenergistics2:paint_ball:30, Paint Ball - Lumen Purple
appliedenergistics2:paint_ball:31, Paint Ball - Lumen Blue
appliedenergistics2:paint_ball:32, Paint Ball - Lumen Brown
appliedenergistics2:paint_ball:33, Paint Ball - Lumen Green
appliedenergistics2:paint_ball:34, Paint Ball - Lumen Red
appliedenergistics2:paint_ball:35, Paint Ball - Lumen Black
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, Advanced Card
appliedenergistics2:material:44, Annihilation Core
appliedenergistics2:material:25, Basic Card
appliedenergistics2:material:52, Blank Pattern
appliedenergistics2:material:23, Calculation Processor
appliedenergistics2:material:13, Inscriber Calculation Press
appliedenergistics2:material:16, Printed Calculation Circuit
appliedenergistics2:material:27, Capacity Card
appliedenergistics2:material:53, Crafting Card
appliedenergistics2:material:29, Fuzzy Card
appliedenergistics2:material:31, Inverter Card
appliedenergistics2:material:26, Redstone Card
appliedenergistics2:material:30, Acceleration Card
appliedenergistics2:material:34, 128³ Spatial Component
appliedenergistics2:material:37, 16k ME Storage Component
appliedenergistics2:material:33, 16³ Spatial Component
appliedenergistics2:material:35, 1k ME Storage Component
appliedenergistics2:material:32, 2³ Spatial Component
appliedenergistics2:material:36, 4k ME Storage Component
appliedenergistics2:material:38, 64k ME Storage Component
appliedenergistics2:material:0, Certus Quartz Crystal
appliedenergistics2:material:1, Charged Certus Quartz Crystal
appliedenergistics2:material:2, Certus Quartz Dust
appliedenergistics2:material:39, ME Storage Housing
appliedenergistics2:material:46, Ender Dust
appliedenergistics2:material:24, Engineering Processor
appliedenergistics2:material:14, Inscriber Engineering Press
appliedenergistics2:material:17, Printed Engineering Circuit
appliedenergistics2:material:4, Flour
appliedenergistics2:material:56, 16k ME Fluid Storage Component
appliedenergistics2:material:54, 1k ME Fluid Storage Component
appliedenergistics2:material:55, 4k ME Fluid Storage Component
appliedenergistics2:material:57, 64k ME Fluid Storage Component
appliedenergistics2:material:7, Fluix Crystal
appliedenergistics2:material:8, Fluix Dust
appliedenergistics2:material:9, Fluix Pearl
appliedenergistics2:material:43, Formation Core
appliedenergistics2:material:51, Gold Dust
appliedenergistics2:material:49, Iron Dust
appliedenergistics2:material:22, Logic Processor
appliedenergistics2:material:15, Inscriber Logic Press
appliedenergistics2:material:18, Printed Logic Circuit
appliedenergistics2:material:6, Matter Ball
appliedenergistics2:material:21, Inscriber Name Press
appliedenergistics2:material:3, Nether Quartz Dust
appliedenergistics2:material:10, Pure Certus Quartz Crystal
appliedenergistics2:material:12, Pure Fluix Crystal
appliedenergistics2:material:11, Pure Nether Quartz Crystal
appliedenergistics2:material:48, Quantum Entangled Singularity
appliedenergistics2:material:5, Silicon
appliedenergistics2:material:19, Inscriber Silicon Press
appliedenergistics2:material:20, Printed Silicon
appliedenergistics2:material:47, Singularity
appliedenergistics2:material:45, Sky Stone Dust
appliedenergistics2:material:41, Wireless Receiver
appliedenergistics2:material:42, Wireless Booster
appliedenergistics2:material:40, Wooden Gear
appliedenergistics2:part:300, ME Annihilation Plane
appliedenergistics2:part:120, Cable Anchor
appliedenergistics2:part:20, ME Covered Cable - White
appliedenergistics2:part:21, ME Covered Cable - Orange
appliedenergistics2:part:22, ME Covered Cable - Magenta
appliedenergistics2:part:23, ME Covered Cable - Light Blue
appliedenergistics2:part:24, ME Covered Cable - Yellow
appliedenergistics2:part:25, ME Covered Cable - Lime
appliedenergistics2:part:26, ME Covered Cable - Pink
appliedenergistics2:part:27, ME Covered Cable - Gray
appliedenergistics2:part:28, ME Covered Cable - Light Gray
appliedenergistics2:part:29, ME Covered Cable - Cyan
appliedenergistics2:part:30, ME Covered Cable - Purple
appliedenergistics2:part:31, ME Covered Cable - Blue
appliedenergistics2:part:32, ME Covered Cable - Brown
appliedenergistics2:part:33, ME Covered Cable - Green
